timestamp ,longitude ,latitude ,altitude ,RH ,Temperature ,iAQ-Core status ,CO2 ppm ,TVOC ppb ,PM 2.5 (ug/m3) ,PM 10 (ug/m3) 
2019-02-18 13:12:39,0.0,0.0,0.0,21.429443,23.929443,0,451,126,1,2
2019-02-18 13:13:51,0.0,0.0,0.0,21.466064000000003,23.929443,1,0,0,2,3
2019-02-28 13:15:56,0.0,0.0,0.0,24.157715,22.600098000000003,16,0,0,0,1
2019-02-28 13:17:11,0.0,0.0,0.0,23.66333,22.670593,16,0,0,1,2
2019-02-28 13:18:27,0.0,0.0,0.0,22.991943,23.234558,16,0,0,1,2
2019-02-28 13:19:38,0.0,0.0,0.0,22.485352,23.858948,16,0,0,1,2
2019-02-28 13:20:53,0.0,0.0,0.0,22.045898,23.959656,0,450,125,1,2
2019-02-28 13:25:37,0.0,0.0,0.0,21.038818,25.178223000000003,16,0,0,0,1
2019-02-28 13:26:48,0.0,0.0,0.0,20.788574,25.218506,16,0,0,1,2
2019-02-28 13:28:00,0.0,0.0,0.0,20.428467,25.752257999999998,16,0,0,1,2
2019-02-28 13:29:15,0.0,0.0,0.0,20.391845999999997,25.782470999999997,16,0,0,1,2
2019-02-28 13:30:30,0.0,0.0,0.0,20.239258,25.812683,0,450,125,1,2
2019-02-28 13:31:46,0.0,0.0,0.0,20.025635,25.842896,0,450,125,0,1
2019-02-28 13:32:57,0.0,0.0,0.0,19.897461,25.873108,0,456,127,1,2
2019-02-28 13:34:12,0.0,0.0,0.0,19.812012,25.89325,0,451,126,1,2
2019-02-28 13:35:27,0.0,0.0,0.0,19.622803,26.396790000000003,0,458,128,1,2
2019-02-28 13:36:43,0.0,0.0,0.0,19.500732,26.427002,0,450,125,0,1
2019-02-28 13:37:54,0.0,0.0,0.0,19.464111,26.447144,0,450,125,1,2
2019-02-28 13:39:05,0.0,0.0,0.0,19.360352,26.447144,0,465,130,1,2
2019-02-28 13:40:20,0.0,0.0,0.0,19.366455,26.447144,0,450,125,1,2
2019-02-28 13:41:36,0.0,0.0,0.0,19.18335,26.477356,0,458,128,1,2
2019-02-28 13:42:51,0.0,0.0,0.0,19.195557,26.507568,0,450,125,1,2
2019-02-28 13:44:02,0.0,0.0,0.0,19.085693,26.517639000000003,0,453,126,1,2
2019-02-28 13:45:18,0.0,0.0,0.0,18.969727,26.517639000000003,0,455,127,1,2
2019-02-28 13:46:33,10.437171083441612,63.42224532907768,108.199997,18.902588,26.537781,0,452,126,1,2
2019-02-28 13:47:48,10.43745756233918,63.42155777972352,172.699997,18.927001999999998,27.03125,0,453,126,1,2
2019-02-28 13:48:59,10.437744041236746,63.42218803329817,156.699997,18.896484,27.03125,0,450,125,2,3
2019-02-28 13:50:15,10.437572153898207,63.42207344173914,143.899994,18.988037,26.537781,0,454,127,1,2
2019-02-28 13:51:30,10.437400266559667,63.42218803329817,130.699997,19.018555,26.52771,0,453,126,1,2
2019-02-28 14:00:30,0.0,0.0,0.0,22.296143,23.858948,16,0,0,1,2
2019-02-28 14:01:46,0.0,0.0,0.0,21.252441,23.919373,16,0,0,1,2
2019-02-28 14:03:01,0.0,0.0,0.0,21.148682,24.463196,16,0,0,1,2
2019-02-28 14:04:16,0.0,0.0,0.0,21.075439000000003,24.483337,16,0,0,1,2
2019-02-28 14:05:27,0.0,0.0,0.0,20.98999,24.503479000000002,0,461,128,1,2
2019-02-28 14:06:39,0.0,0.0,0.0,20.898438,24.523621,0,470,131,1,2
2019-02-28 14:07:54,0.0,0.0,0.0,20.855713,24.543762,0,466,130,1,2
2019-02-28 14:09:09,0.0,0.0,0.0,20.703125,24.584045,0,452,126,1,2
2019-02-28 14:10:25,0.0,0.0,0.0,20.520020000000002,24.594116,0,456,127,1,2
2019-02-28 14:11:36,0.0,0.0,0.0,20.611572,24.604187,0,455,127,1,2
2019-02-28 14:12:51,0.0,0.0,0.0,20.507812,25.097656,0,455,127,1,2
2019-02-28 14:14:06,0.0,0.0,0.0,20.471191,25.117798,0,459,128,1,2
2019-02-28 14:15:22,0.0,0.0,0.0,20.43457,25.127869,0,460,128,1,2
2019-02-28 14:16:33,0.0,0.0,0.0,20.397949,25.14801,0,450,125,1,2
2019-02-28 14:17:45,0.0,0.0,0.0,20.410156,25.168152,0,458,128,1,2
2019-02-28 14:18:59,0.0,0.0,0.0,20.288086,25.168152,0,463,129,0,1
2019-02-28 14:20:15,10.437858632795773,63.421901554400606,117.699997,20.251465,25.168152,0,454,127,1,2
2019-02-28 14:21:31,10.437400266559667,63.42213073751864,128.899994,19.793701000000002,25.238647,0,454,127,1,2
2019-02-28 14:22:42,10.437801337016259,63.42224532907768,136.600006,19.781494,25.208435,0,454,127,1,2
2019-02-28 14:23:57,10.437629449677722,63.42235992063671,128.899994,19.549560999999997,25.218506,0,450,125,1,2
2019-02-28 14:25:12,10.43745756233918,63.42218803329817,126.099998,19.87915,25.188292999999998,0,450,125,1,2
2019-02-28 14:26:27,10.437342970780154,63.42218803329817,130.199997,19.946289,25.188292999999998,0,457,127,1,2
